symbol,github,langs,contributors,tags
XLM,https://github.com/stellar/stellar-core,"C, C++, M4, Rust, Shell, Python","https://github.com/graydon, https://github.com/sisuresh, https://github.com/marta-lokhova, https://github.com/dmkozh, https://github.com/SirTyson, https://github.com/robertDurst, https://github.com/hidenori-shinohara, https://github.com/mfontanini, https://github.com/nullstyle, https://github.com/evanlimanto, https://github.com/bekkibolthouse, https://github.com/bartekn, https://github.com/JeremyRubin, https://github.com/FredericHeem, https://github.com/irisli, https://github.com/wanecek, https://github.com/MarcPow, https://github.com/rice2000, https://github.com/brahman81, https://github.com/TbLtzk, https://github.com/vladdoster, https://github.com/tsachiherman, https://github.com/C0x41lch0x41, https://github.com/2opremio, https://github.com/vcarl, https://github.com/Subho13, https://github.com/0xf00ff00f, https://github.com/gologo13, https://github.com/marcinx, https://github.com/ult-bobonovski, https://github.com/cballou, https://github.com/hbdgr, https://github.com/mfrg, https://github.com/sgehrman, https://github.com/syntaxval, https://github.com/dmichulke, https://github.com/J12D, https://github.com/kathyonu, https://github.com/gnunicorn, https://github.com/thosmos, https://github.com/MonsieurNicolas, https://github.com/vogel, https://github.com/jonjove, https://github.com/jedmccaleb, https://github.com/rokopt, https://github.com/jayz22, https://github.com/Geod24, https://github.com/leighmcculloch, https://github.com/alfiedotwtf, https://github.com/thejollyrogers, https://github.com/raymens, https://github.com/jacekn, https://github.com/sui77, https://github.com/santegoeds, https://github.com/JuI3s, https://github.com/codeck, https://github.com/AndrejMitrovic, https://github.com/katopz, https://github.com/msfeldstein, https://github.com/manran, https://github.com/mattjquinn, https://github.com/tamirms, https://github.com/MassimoTambu, https://github.com/BOPOHA, https://github.com/overcat, https://github.com/kylemccollom, https://github.com/0xKolten, https://github.com/theaeolianmachine, https://github.com/kodxl, https://github.com/He-Pin, https://github.com/Synesso, https://github.com/maxim-levy, https://github.com/nebolsin, https://github.com/phocks, https://github.com/nikhilsaraf, https://github.com/miniBill, https://github.com/tzdybal, https://github.com/damons, https://github.com/donovanhide, https://github.com/kevinji, https://github.com/matschaffer","Decentralized Exchange (DEX) Token, Smart Contracts, Hashkey Capital Portfolio, Medium of Exchange, Enterprise Solutions"
LINK,https://github.com/smartcontractkit/chainlink,"Go, Solidity, TypeScript, Shell, PLpgSQL, Makefile","https://github.com/j16r, https://github.com/rupurt, https://github.com/samsondav, https://github.com/jmank88, https://github.com/apps/dependabot-preview, https://github.com/thodges-gh, https://github.com/spooktheducks, https://github.com/archseer, https://github.com/jkongie, https://github.com/typescribe, https://github.com/hellobart, https://github.com/pinebit, https://github.com/bolekk, https://github.com/vyzaldysanchez, https://github.com/dependabot-support, https://github.com/vreff, https://github.com/whatsadebugger, https://github.com/kalverra, https://github.com/justinkaseman, https://github.com/lukaszcl, https://github.com/kaleofduty, https://github.com/reductionista, https://github.com/cedric-cordenier, https://github.com/krehermann, https://github.com/johnnymugs, https://github.com/jinhoonbang, https://github.com/RensR, https://github.com/jleeh, https://github.com/begmaroman, https://github.com/AndrewInsignares, https://github.com/KuphJr, https://github.com/apps/github-actions, https://github.com/RodrigoAD, https://github.com/AnieeG, https://github.com/gheorghestrimtu, https://github.com/ilija42, https://github.com/boxhock, https://github.com/javuto, https://github.com/augustbleeds, https://github.com/kevincharm, https://github.com/eutopian, https://github.com/AbGuthrie, https://github.com/mateusz-sekara, https://github.com/vlyl, https://github.com/ferglor, https://github.com/CL-Andrew, https://github.com/ajgrande924, https://github.com/davidcauchi, https://github.com/JonWong203, https://github.com/martin-cll, https://github.com/se3000, https://github.com/dimroc, https://github.com/RyanRHall, https://github.com/coventry, https://github.com/HenryNguyen5, https://github.com/alexroan, https://github.com/infiloop2, https://github.com/connorwstein, https://github.com/apps/dependabot, https://github.com/PiotrTrzpil, https://github.com/chainchad, https://github.com/NavyAdmiral, https://github.com/felder-cl, https://github.com/makramkd, https://github.com/essamhassan, https://github.com/DeividasK, https://github.com/tateexon, https://github.com/FelixFan1992, https://github.com/topliceanu, https://github.com/skubakdj, https://github.com/aalu1418, https://github.com/tyrion70, https://github.com/yosriady, https://github.com/Nic0S, https://github.com/skudasov, https://github.com/benber86, https://github.com/krebernisak, https://github.com/george-dorin, https://github.com/Bwest981, https://github.com/anirudhwarrier, https://github.com/EasterTheBunny, https://github.com/patrickhuie19, https://github.com/amirylm, https://github.com/prashantkumar1982, https://github.com/shileiwill, https://github.com/cmalec, https://github.com/dimriou, https://github.com/iljapavlovs, https://github.com/austinborn, https://github.com/ExtremelySunnyYK, https://github.com/MStreet3, https://github.com/vla33, https://github.com/cfal, https://github.com/PatrickAlphaC, https://github.com/TJBigelow, https://github.com/PotatoGunship, https://github.com/Fletch153, https://github.com/cds95, https://github.com/kidambisrinivas, https://github.com/sdrug","Platform, DeFi, Oracles, Smart Contracts, Substrate, Framework Ventures Portfolio, Real World Assets, Celsius Bankruptcy Estate, Web3, Polkadot, Polkadot Ecosystem, Avalanche Ecosystem, Solana Ecosystem, Polygon Ecosystem, Fantom Ecosystem, Cardano Ecosystem, Near Protocol Ecosystem, Arbitrum Ecosystem, Cardano, Injective Ecosystem, Optimism Ecosystem"
BUSD,https://github.com/paxosglobal/busd-contract,"Solidity, JavaScript, Makefile","https://github.com/henryksarat, https://github.com/snyk-bot, https://github.com/andresaiello, https://github.com/ygaberman-px, https://github.com/Zoe14","Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, Alleged SEC Securities, Linea Ecosystem, Binance Chain, Harmony Ecosystem, Moonriver Ecosystem, Optimism Ecosystem"
TUSD,https://github.com/trusttoken/smart-contracts,"TypeScript, Solidity","https://github.com/terryli0095, https://github.com/MiksuJak, https://github.com/skalermo, https://github.com/feewet, https://github.com/msieczko, https://github.com/dmaretskyi, https://github.com/RafaelCosman, https://github.com/dymitrlubczyk, https://github.com/BenjaminCosman, https://github.com/marcuswin, https://github.com/barrutko, https://github.com/Vashti-w, https://github.com/molecula451, https://github.com/vanruch, https://github.com/yuchenlintt, https://github.com/wjmelements, https://github.com/hal909, https://github.com/MaciejNadolski98, https://github.com/pkuchtatt, https://github.com/qiwihui, https://github.com/apps/dependabot, https://github.com/abam-iksde, https://github.com/yubo-ruan, https://github.com/ascall-by, https://github.com/tt-krzysztof, https://github.com/yuchennil","Store Of Value, Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, Avalanche Ecosystem, Arbitrum Ecosystem, BNB Chain"
UNI,unknown,,,"Decentralized Exchange (DEX) Token, DeFi, DAO, Yield Farming, AMM, Coinbase Ventures Portfolio, Three Arrows Capital Portfolio, Governance, Blockchain Capital Portfolio, DeFiance Capital Portfolio, Alameda Research Portfolio, a16z Portfolio, Pantera Capital Portfolio, ParaFi Capital, Paradigm Portfolio, Arbitrum Ecosystem, Injective Ecosystem, Optimism Ecosystem"
XMR,https://github.com/monero-project/monero,,"https://github.com/fluffypony, https://github.com/stoffu, https://github.com/tewinget, https://github.com/vtnerd, https://github.com/xiphon, https://github.com/radfish, https://github.com/mikezackles, https://github.com/anonimal, https://github.com/TheCharlatan, https://github.com/kenshi84, https://github.com/mathstuf, https://github.com/oranjuice, https://github.com/iDunk5400, https://github.com/cslashm, https://github.com/IPGlider, https://github.com/SChernykh, https://github.com/MoroccanMalinois, https://github.com/UkoeHB, https://github.com/rfree2monero, https://github.com/iamsmooth, https://github.com/cryptochangements34, https://github.com/binaryFate, https://github.com/Neozaru, https://github.com/ston1th, https://github.com/codehalo, https://github.com/Doy-lee, https://github.com/jakoblind, https://github.com/moneroexamples, https://github.com/vickio, https://github.com/tevador, https://github.com/leonklingele, https://github.com/m2049r, https://github.com/rodentrabies, https://github.com/jeandudey, https://github.com/homdx, https://github.com/Jkat, https://github.com/jeanlucmongrain, https://github.com/nvmd, https://github.com/guzzijones, https://github.com/vasild, https://github.com/sanderfoobar, https://github.com/grydz, https://github.com/fireice-uk, https://github.com/reemuru, https://github.com/thaerkh, https://github.com/Luxter77, https://github.com/JollyMort, https://github.com/rex4539, https://github.com/00-matt, https://github.com/moneromooo-monero, https://github.com/hyc, https://github.com/selsta, https://github.com/warptangent, https://github.com/mbg033, https://github.com/Jaqueeee, https://github.com/mj-xmr, https://github.com/jeffro256, https://github.com/ph4r05, https://github.com/tobtoht, https://github.com/Gingeropolous, https://github.com/NoodleDoodleNoodleDoodleNoodleDoodleNoo, https://github.com/j-berman, https://github.com/rbrunner7, https://github.com/jtgrassie, https://github.com/luigi1111, https://github.com/erciccione, https://github.com/SarangNoether, https://github.com/glv2, https://github.com/ndorf, https://github.com/erikd, https://github.com/ranok, https://github.com/woodser, https://github.com/naughtyfox, https://github.com/emesik, https://github.com/jonathancross, https://github.com/tmoravec, https://github.com/oyvkva, https://github.com/sumogr, https://github.com/vdo, https://github.com/tomsmeding, https://github.com/dave-andersen, https://github.com/bigreddmachine, https://github.com/MaxXor, https://github.com/Timo614, https://github.com/cole-lightfighter, https://github.com/paulshapiro, https://github.com/benevanoff, https://github.com/JesusRami, https://github.com/vicsn, https://github.com/campassi, https://github.com/xnbya, https://github.com/normoes, https://github.com/lancillotto, https://github.com/serhack, https://github.com/zone117x, https://github.com/jagerman, https://github.com/jwinterm, https://github.com/kayabaNerve, https://github.com/hinto-janai","PoW, Privacy, RingCT, BoostVC Portfolio, Electric Capital Portfolio, Galaxy Digital Portfolio, Medium of Exchange, Mineable"
OKB,unknown,,,"Centralized Exchange (CEX) Token, Discount Token, Alameda Research Portfolio, Marketplace"
ATOM,https://github.com/cosmos,,,"Platform, Interoperability, Polychain Capital Portfolio, DragonFly Capital Portfolio, Hashkey Capital Portfolio, 1Confirmation Portfolio, Paradigm Portfolio, Exnetwork Capital Portfolio, SEC Security Token, Alleged SEC Securities, Content Creation, Cosmos Ecosystem, Injective Ecosystem, Cosmos, Scaling, Staking"
ETC,https://github.com/ethereumclassic/ethereumclassic.github.io,,,"PoW, Ethash, Platform, Smart Contracts, DCG Portfolio, Mineable"
HBAR,https://github.com/hashgraph,,,"DAG, DCG Portfolio, Layer 1, Marketplace, Enterprise Solutions, Payments, Hedera Hashgraph Ecosystem, PoS, Energy, Platform, Collectibles & NFTs, Data Provenance, DeFi, Privacy, Identity, Quantum-Resistant, Smart Contracts, Timestamping, Web3"
ICP,https://github.com/dfinity/ic,"Rust, Python, Starlark, Shell, Haskell, TypeScript",,"Platform, Collectibles & NFTs, DeFi, Interoperability, Smart Contracts, DAO, Wallet, Storage, Polychain Capital Portfolio, Launchpad, Lending & Borrowing, Metaverse, Electric Capital Portfolio, Fenbushi Capital Portfolio, Hashkey Capital Portfolio, a16z Portfolio, Multicoin Capital Portfolio, Exnetwork Capital Portfolio, SEC Security Token, Alleged SEC Securities, Distributed Computing, Web3, Internet Computer Ecosystem, Bitcoin Ecosystem, Play To Earn"
FIL,https://github.com/filecoin-project/,,,"Storage, Polychain Capital Portfolio, Blockchain Capital Portfolio, BoostVC Portfolio, DCG Portfolio, Hashkey Capital Portfolio, a16z Portfolio, Winklevoss Capital Portfolio, Pantera Capital Portfolio, SEC Security Token, Alleged SEC Securities, Distributed Computing, Filesharing, Web3, Mineable, Filecoin Ecosystem"
MNT,https://github.com/mantlenetworkio,,,
LDO,https://github.com/lidofinance,,,"DeFi, DAO, Three Arrows Capital Portfolio, Paradigm Portfolio, Liquid Staking Derivatives, Arbitrum Ecosystem, Optimism Ecosystem, Stablecoin, Staking, DApp, Governance, DeFi 2.0"
CRO,https://github.com/crypto-org-chain/chain-main,,"https://github.com/tomtau, https://github.com/allthatjazzleo, https://github.com/mmsqe, https://github.com/calvinaco, https://github.com/macong-cdc, https://github.com/lezzokafka, https://github.com/JayT106, https://github.com/ThanhNhann, https://github.com/julienrbrt, https://github.com/yihuang, https://github.com/devashishdxt, https://github.com/leejw51crypto, https://github.com/linfeng-crypto, https://github.com/apps/dependabot, https://github.com/calvinlauyh, https://github.com/damoncro, https://github.com/y-luis-rojo, https://github.com/omahs, https://github.com/landanhu","Centralized Exchange (CEX) Token, Medium of Exchange, Mobile, Payments, Cosmos Ecosystem, Injective Ecosystem"
APT,unknown,,,"Binance Labs Portfolio, Circle Ventures Portfolio, Layer 1, FTX Bankruptcy Estate, Aptos Ecosystem, SUI Ecosystem"
QNT,https://github.com/quantnetwork/,,,
ARB,unknown,,,"Scaling, DAO, DApp, Polychain Capital Portfolio, Layer 2, Rollups, Pantera Capital Portfolio, Ethereum Ecosystem, Arbitrum Ecosystem"
VET,https://github.com/vechain,,,"Smart Contracts, Fenbushi Capital Portfolio, Logistics, Data Provenance, IoT, Platform"
NEAR,https://github.com/nearprotocol/nearcore,"Rust, Python, TypeScript, HTML, SCSS, Shell","https://github.com/bowenwang1996, https://github.com/pmnoxx, https://github.com/nikurt, https://github.com/jakmeier, https://github.com/ailisp, https://github.com/mikhailOK, https://github.com/pompon0, https://github.com/SkidanovAlex, https://github.com/marcelo-gonzalez, https://github.com/chefsale, https://github.com/miraclx, https://github.com/Kouprin, https://github.com/wacban, https://github.com/vgrichina, https://github.com/akhi3030, https://github.com/posvyatokum, https://github.com/olonho, https://github.com/birchmd, https://github.com/azban, https://github.com/EgorKulikov, https://github.com/andrei-near, https://github.com/VanBarbascu, https://github.com/austinabell, https://github.com/utka, https://github.com/jbajic, https://github.com/david-stolp, https://github.com/EdvardD, https://github.com/ChaoticTempest, https://github.com/nujabes403, https://github.com/behaviary, https://github.com/kakoc, https://github.com/k06a, https://github.com/yordanmadzhunkov, https://github.com/artob, https://github.com/telezhnaya, https://github.com/yanganto, https://github.com/abhijeetbhagat, https://github.com/itegulov, https://github.com/ckshei, https://github.com/Rajiv620019, https://github.com/walnut-the-cat, https://github.com/rnwst, https://github.com/KaiserKarel, https://github.com/eriktrautman, https://github.com/webern, https://github.com/Rishabhraghwendra18, https://github.com/mieubrisse, https://github.com/robert-zaremba, https://github.com/amgando, https://github.com/cyberbono3, https://github.com/mina86, https://github.com/matklad, https://github.com/ilblackdragon, https://github.com/nearmax, https://github.com/evgenykuzyakov, https://github.com/mzhangmzz, https://github.com/Longarithm, https://github.com/apps/near-bulldozer, https://github.com/mfornet, https://github.com/mm-near, https://github.com/nagisa, https://github.com/frol, https://github.com/robin-near, https://github.com/akashin, https://github.com/pugachAG, https://github.com/Ekleog-NEAR, https://github.com/khorolets, https://github.com/janedegtiareva, https://github.com/lexfro, https://github.com/saketh-are, https://github.com/Ekleog, https://github.com/jc-near, https://github.com/shreyan-gupta, https://github.com/abacabadabacaba, https://github.com/apps/dependabot, https://github.com/ppca, https://github.com/mooori, https://github.com/firatNEAR, https://github.com/blasrodri, https://github.com/apps/nearprotocol-bulldozer, https://github.com/mhalambek, https://github.com/frankbraun, https://github.com/encody, https://github.com/joshuajbouw, https://github.com/AnaisUrlichs, https://github.com/anthony-near, https://github.com/bucanero, https://github.com/willemneal, https://github.com/ngmiller, https://github.com/kyoshisuki, https://github.com/itsyaasir, https://github.com/petarvujovic98, https://github.com/shekhirin, https://github.com/thisisjoshford, https://github.com/haaawk, https://github.com/nasdf, https://github.com/maoueh, https://github.com/snjax, https://github.com/nearprotocol-ci, https://github.com/jubos","Platform, Staking, Coinbase Ventures Portfolio, Three Arrows Capital Portfolio, Arrington XRP Capital Portfolio, Coinfund Portfolio, Electric Capital Portfolio, Fabric Ventures Portfolio, Kenetic Capital Portfolio, Circle Ventures Portfolio, SEC Security Token, Alleged SEC Securities, Near Protocol Ecosystem, Injective Ecosystem"
OP,https://github.com/ethereum-optimism/,,,
MKR,https://github.com/makerdao,,,"Store Of Value, DeFi, DAO, Polychain Capital Portfolio, Governance, Lending & Borrowing, DragonFly Capital Portfolio, Electric Capital Portfolio, a16z Portfolio, 1Confirmation Portfolio, Placeholder Ventures Portfolio, Pantera Capital Portfolio, Paradigm Portfolio, Spartan Group, Real World Assets, Near Protocol Ecosystem, Arbitrum Ecosystem, BNB Chain"
AAVE,https://github.com/aave,,,"DeFi, DAO, Yield Farming, Three Arrows Capital Portfolio, Governance, Lending & Borrowing, Blockchain Capital Portfolio, DeFiance Capital Portfolio, Framework Ventures Portfolio, Alameda Research Portfolio, Pantera Capital Portfolio, ParaFi Capital, Polygon Ecosystem, Fantom Ecosystem, Optimism Ecosystem"
GRT,https://github.com/graphprotocol,,,"DeFi, Coinbase Ventures Portfolio, Analytics, Coinfund Portfolio, DCG Portfolio, Fabric Ventures Portfolio, Framework Ventures Portfolio, LedgerPrime Portfolio, Multicoin Capital Portfolio, ParaFi Capital, Spartan Group, AI & Big Data, Enterprise Solutions, Web3, Solana Ecosystem, Polygon Ecosystem, Fantom Ecosystem, Near Protocol Ecosystem, Arbitrum Ecosystem, Injective Ecosystem"
ALGO,https://github.com/algorand/go-algorand,"Go, C, Shell, Python, Assembly, M4","https://github.com/algorandskiy, https://github.com/algonathan, https://github.com/cce, https://github.com/onetechnical, https://github.com/justicz, https://github.com/zeldovich, https://github.com/brianolson, https://github.com/michaeldiamant, https://github.com/jasonpaulos, https://github.com/shiqizng, https://github.com/ahangsu, https://github.com/algochoi, https://github.com/bricerisingalgorand, https://github.com/tolikzinovyev, https://github.com/algorotem, https://github.com/barnjamin, https://github.com/EvanJRichard, https://github.com/iansuvak, https://github.com/Vervious, https://github.com/AlgoAxel, https://github.com/AlgoStephenAkiki, https://github.com/mxmauro, https://github.com/algoidurovic, https://github.com/pzbitskiy, https://github.com/bbroder-algo, https://github.com/tsachizehub, https://github.com/algomaxj, https://github.com/ryanRfox, https://github.com/kehiy, https://github.com/mjiang102628, https://github.com/yossigi, https://github.com/algojohnlee, https://github.com/fionnachan, https://github.com/grakshith, https://github.com/jsign, https://github.com/emg110, https://github.com/jsgranados, https://github.com/joe-p, https://github.com/malturki, https://github.com/Juneezee, https://github.com/ailisp, https://github.com/Matt-Ryley, https://github.com/StylishTriangles, https://github.com/figurestudios, https://github.com/rfustino, https://github.com/sharonha99, https://github.com/RomitKumar, https://github.com/Priegle, https://github.com/tsachiherman, https://github.com/winder, https://github.com/algonautshant, https://github.com/jannotti, https://github.com/btoll, https://github.com/algobolson, https://github.com/egieseke, https://github.com/derbear, https://github.com/Algo-devops-service, https://github.com/algojack, https://github.com/Eric-Warehime, https://github.com/Aharonee, https://github.com/id-ms, https://github.com/algobarb, https://github.com/tzaffi, https://github.com/icorderi, https://github.com/stechu, https://github.com/algolucky, https://github.com/nicholasguo, https://github.com/algoradam, https://github.com/gmalouf, https://github.com/jdtzmn, https://github.com/eltociear, https://github.com/fabrice102, https://github.com/almog-t, https://github.com/iten-alg, https://github.com/mciccarello, https://github.com/algoganesh, https://github.com/rotemh, https://github.com/nullun, https://github.com/jecassis, https://github.com/apps/dependabot, https://github.com/qkniep, https://github.com/AyAggarwal, https://github.com/wjurayj-algo, https://github.com/zacharyestep, https://github.com/AustP, https://github.com/algoanne, https://github.com/win-t, https://github.com/algonoah, https://github.com/vuvoth, https://github.com/bo-abstrlabs, https://github.com/Olshansk, https://github.com/yaovi-a, https://github.com/ian-algorand, https://github.com/gcolvin, https://github.com/scnale, https://github.com/JasonWeathersby","PoS, Platform, Smart Contracts, Arrington XRP Capital Portfolio, Kenetic Capital Portfolio, USV Portfolio, Multicoin Capital Portfolio, Exnetwork Capital Portfolio, Layer 1, DWF Labs Portfolio, SEC Security Token, Alleged SEC Securities, Research"
XDC,https://github.com/xinfinorg,,,"Smart Contracts, Layer 1, Enterprise Solutions, XDC Ecosystem, DPoS, PoS, DeFi, Masternodes"
USDD,https://tronscan.org/#/contract/TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn/code,,,"Stablecoin, Algorithmic Stablecoin, USD Stablecoin, Arbitrum Ecosystem"
AXS,unknown,,,"Collectibles & NFTs, Binance Launchpad, Metaverse, DeFiance Capital Portfolio, Play To Earn, Animoca Brands Portfolio, SEC Security Token, Alleged SEC Securities, Gaming"
SAND,unknown,,,"Collectibles & NFTs, Binance Launchpad, Metaverse, Play To Earn, Animoca Brands Portfolio, SEC Security Token, Alleged SEC Securities, Content Creation, Gaming, Ethereum Ecosystem"
IMX,unknown,,,"Collectibles & NFTs, Zero Knowledge Proofs, Scaling, Layer 2, Rollups, Arrington XRP Capital Portfolio, Alameda Research Portfolio, Gaming"
INJ,https://github.com/InjectiveLabs,,,"PoS, Platform, DeFi, Smart Contracts, Binance Launchpad, Binance Labs Portfolio, CMS Holdings Portfolio, Pantera Capital Portfolio, AI & Big Data, Web3, Cosmos Ecosystem, Cosmos, BNB Smart Chain, Interoperability, Binance Launchpool, Cross-Chain, Injective Ecosystem"
FTM,https://github.com/Fantom-Foundation,,,"Platform, DeFi, Scaling, Smart Contracts, Layer 1, Enterprise Solutions, Research, Fantom Ecosystem, Injective Ecosystem"
BSV,https://github.com/bitcoin-sv/bitcoin-sv,"C++, C, Python, M4, CMake, Makefile","https://github.com/sipa, https://github.com/theuni, https://github.com/richmills3, https://github.com/TheBlueMatt, https://github.com/non-github-bitcoin, https://github.com/arkadiuszpx, https://github.com/sdaftuar, https://github.com/pfromberg, https://github.com/petertodd, https://github.com/chrisgibson01, https://github.com/paveljanik, https://github.com/jnewbery, https://github.com/zigako, https://github.com/ryanofsky, https://github.com/jasonbcox, https://github.com/rebroad, https://github.com/instagibbs, https://github.com/CodeShark, https://github.com/bvizin, https://github.com/fitzrovian, https://github.com/dooglus, https://github.com/dagurval, https://github.com/jl2012, https://github.com/cculianu, https://github.com/dgenr8, https://github.com/promag, https://github.com/sdkfjlsfjlskdfjlsdjflsjf, https://github.com/practicalswift, https://github.com/sickpig, https://github.com/matiu, https://github.com/mruddy, https://github.com/BojanKverh, https://github.com/codler, https://github.com/wizeman, https://github.com/dcousens, https://github.com/roques, https://github.com/ajweiss, https://github.com/jmcorgan, https://github.com/isle2983, https://github.com/runeksvendsen, https://github.com/awemany, https://github.com/freewil, https://github.com/jrmithdobbs, https://github.com/kyuupichan, https://github.com/brad1121, https://github.com/ashleyholman, https://github.com/zw, https://github.com/randy-waterhouse, https://github.com/fsb4000, https://github.com/Michagogo, https://github.com/laanwj, https://github.com/deadalnix, https://github.com/gavinandresen, https://github.com/jonasschnelli, https://github.com/luke-jr, https://github.com/borisru, https://github.com/fanquake, https://github.com/schancel, https://github.com/morcos, https://github.com/jtimon, https://github.com/Danconnolly, https://github.com/ftrader, https://github.com/cozz, https://github.com/pstratem, https://github.com/vvranjek, https://github.com/albracko, https://github.com/Mengerian, https://github.com/muggenhor, https://github.com/btcdrak, https://github.com/domob1812, https://github.com/ctnchain, https://github.com/achow101, https://github.com/dexX7, https://github.com/kazcw, https://github.com/wtogami, https://github.com/mrbandrews, https://github.com/super3, https://github.com/casey, https://github.com/kdomanski, https://github.com/ENikS, https://github.com/kallewoof, https://github.com/nomnombtc, https://github.com/maaku, https://github.com/JeremyRubin, https://github.com/recursive-rat4, https://github.com/matra774, https://github.com/NicolasDorier, https://github.com/jamesob, https://github.com/joshtriplett, https://github.com/jordanlewis, https://github.com/sje397, https://github.com/forrestv, https://github.com/sinetek, https://github.com/p2k, https://github.com/OttoAllmendinger, https://github.com/EthanHeilman, https://github.com/JoelKatz, https://github.com/dertin, https://github.com/esthon, https://github.com/schildbach","PoW, SHA-256, Store Of Value, State Channel, Medium of Exchange, Mineable, Bitcoin Ecosystem"
MANA,https://github.com/decentraland/mana,"Solidity, Shell","https://github.com/maraoz, https://github.com/nachomazzara, https://github.com/abarmat, https://github.com/nicosantangelo, https://github.com/federicobond, https://github.com/eordano, https://github.com/fmiras, https://github.com/jakub-wojciechowski","Platform, Collectibles & NFTs, Metaverse, BoostVC Portfolio, DCG Portfolio, Fabric Ventures Portfolio, Kenetic Capital Portfolio, Play To Earn, SEC Security Token, Alleged SEC Securities, Gaming, Payments, Polygon Ecosystem"
SNX,unknown,,,"Decentralized Exchange (DEX) Token, DeFi, Derivatives, DAO, Yield Farming, Coinbase Ventures Portfolio, Three Arrows Capital Portfolio, Governance, DeFiance Capital Portfolio, Framework Ventures Portfolio, Alameda Research Portfolio, ParaFi Capital, Paradigm Portfolio, Spartan Group, Real World Assets, DWF Labs Portfolio, Celsius Bankruptcy Estate, Services, Synthetics, Fantom Ecosystem, BNB Chain, Optimism Ecosystem"
RNDR,unknown,,,"Collectibles & NFTs, Scaling, Metaverse, Alameda Research Portfolio, Multicoin Capital Portfolio, Art, Media, VR/AR, AI & Big Data, Distributed Computing, Gaming, Video, Web3, Ethereum Ecosystem, Solana Ecosystem, Polygon Ecosystem"
APE,unknown,,,"Collectibles & NFTs, DAO, Governance, Metaverse, Animoca Brands Portfolio, Content Creation, Gaming, Entertainment, Medium of Exchange, Ethereum Ecosystem, Web3"
USDP,https://github.com/paxosglobal/pax-contracts,"Solidity, JavaScript, Makefile",,"Store Of Value, Stablecoin, Asset-Backed Stablecoin, USD Stablecoin, BNB Chain"
NEO,https://github.com/neo-project/neo,,,
RUNE,https://github.com/thorchain,,,"Decentralized Exchange (DEX) Token, DeFi, DEX, Multicoin Capital Portfolio, Exnetwork Capital Portfolio, Cosmos Ecosystem, Injective Ecosystem"
KAVA,https://github.com/kava-labs,,,"DeFi, Binance Launchpad, Binance Labs Portfolio, Lending & Borrowing, Arrington XRP Capital Portfolio, Framework Ventures Portfolio, Hashkey Capital Portfolio, DWF Labs Portfolio, Cosmos Ecosystem, Injective Ecosystem"
PAXG,https://github.com/paxosglobal/paxos-gold-contract,"JavaScript, Solidity, Makefile",,
XAUt,unknown,,,
XEC,https://github.com/bitcoin-abc,,,"Layer 1, Hybrid - PoW & PoS, PoS, PoW, SHA-256, Platform, Store Of Value, Payments, Scaling, Governance"
FLOW,https://github.com/onflow,,,"Platform, Collectibles & NFTs, Staking, Coinbase Ventures Portfolio, Coinfund Portfolio, DCG Portfolio, LedgerPrime Portfolio, a16z Portfolio, Animoca Brands Portfolio, Layer 1, SEC Security Token, Alleged SEC Securities"
RPL,https://github.com/rocket-pool/rocketpool,"JavaScript, Solidity",,
CHZ,unknown,,,"Collectibles & NFTs, Layer 1, SEC Security Token, Alleged SEC Securities, Sports, Content Creation, Payments"
GALA,unknown,,,"Collectibles & NFTs, Play To Earn, DWF Labs Portfolio, Gaming, BNB Smart Chain, Polygon Ecosystem, Entertainment, Music, Ethereum Ecosystem, Metaverse, Web3"
KLAY,https://github.com/klaytn/klaytn,"Go, Solidity, C, JavaScript, Shell, Assembly",,
KCS,unknown,,,"Centralized Exchange (CEX) Token, Discount Token, Marketplace, Algorand Ecosystem"
FXS,https://github.com/fraxfinance,,,"DeFi, Seigniorage, Exnetwork Capital Portfolio, Liquid Staking Derivatives, Avalanche Ecosystem, Olympus Pro Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, BNB Smart Chain, Governance, Electric Capital Portfolio, Galaxy Digital Portfolio, ParaFi Capital, Polygon Ecosystem, Fantom Ecosystem, Moonriver Ecosystem, Moonbeam Ecosystem"
MIOTA,https://github.com/iotaledger,,,"DAG, DWF Labs Portfolio, Medium of Exchange, IoT, Sharing Economy"
