date,timelow,low,timehigh,high,open,close,volume,marketCap
2023-08-31,21:16:00,0.0130816642,03:26:00,0.013835822,0.0137821048,0.0132612405,3873685.88,303600012.95
2023-08-30,16:00:00,0.0131258714,00:54:00,0.0142042679,0.01405614,0.013782473,4349532.74,315517119.88
2023-08-29,10:55:00,0.0135747959,23:55:00,0.0140778466,0.0138431633,0.0140466982,3901292.54,321495744.51
2023-08-28,10:57:00,0.0135096002,06:55:00,0.0138755179,0.0138100963,0.0138432042,2994432.86,316474702.93
2023-08-27,05:23:00,0.0134850219,17:04:00,0.013942802,0.0139308725,0.0138099891,3992577.03,315167300.58
2023-08-26,00:56:00,0.013425085,22:16:00,0.0140023723,0.0136023634,0.0139309149,4919924.03,317905274.95
2023-08-25,15:05:00,0.0132492635,09:32:00,0.0136212233,0.0132958271,0.0135999298,4926724.29,310309647.19
2023-08-24,20:53:00,0.0131431088,03:21:00,0.0135468036,0.0134750748,0.0132975667,2584915.46,303155754.45
2023-08-23,10:28:00,0.0130732899,19:51:00,0.0135772932,0.0131198601,0.0134765997,3471797.03,307207869.5
2023-08-22,19:44:00,0.012805505,00:28:00,0.0133708536,0.0133213307,0.0131196406,3294662.83,298996782.14
2023-08-21,17:47:00,0.0131422203,04:48:00,0.0135058577,0.0133007951,0.013321103,3667612.09,302577651.25
2023-08-20,01:22:00,0.0131515381,13:35:00,0.0134295603,0.0133015344,0.0133029868,4277540.01,301815324.09
2023-08-19,02:09:00,0.0131437495,16:48:00,0.0135500166,0.0132127077,0.0133020302,4743226.73,301740876.67
2023-08-18,02:35:00,0.0122962973,22:22:00,0.0132827341,0.0126186863,0.0132126236,12356476.97,299612470.54
2023-08-17,22:49:00,0.0124998567,09:39:00,0.0139873444,0.0137230051,0.0126200523,14687953.05,285957660.96
2023-08-16,23:54:00,0.0136578771,03:08:00,0.0145511518,0.0143826339,0.0137211339,14221084.44,310711467.15
2023-08-15,19:46:00,0.0141774856,00:00:00,0.0150704781,0.0150704781,0.0143828778,5621750.19,325099485.55
2023-08-14,12:46:00,0.0147449423,00:12:00,0.0151298594,0.0150898963,0.0150756046,4968008.92,322237443.91
2023-08-13,03:50:00,0.0149531986,15:42:00,0.0152845291,0.0151222724,0.0150869268,3293851.0,315234343.62
2023-08-12,03:06:00,0.0147920978,14:25:00,0.0151542078,0.0150904645,0.0151189503,4388293.13,315892392.57
2023-08-11,21:01:00,0.0150172591,02:52:00,0.0156493087,0.0152270808,0.0150908464,7422846.66,315177101.15
2023-08-10,00:24:00,0.0148838159,07:16:00,0.0153027701,0.0148958781,0.0152268249,5813326.07,317535078.22
2023-08-09,07:35:00,0.0146438532,14:25:00,0.0158508186,0.0147176215,0.0148970168,11192960.53,310635274.74
2023-08-08,14:20:00,0.014364781,00:19:00,0.0148733231,0.0147849177,0.0147171456,5278738.89,306531683.83
2023-08-07,19:41:00,0.0144194537,23:56:00,0.0148345889,0.0145264285,0.0147906342,7072559.21,306520595.62
2023-08-06,15:15:00,0.0143474838,23:52:00,0.0145283873,0.0143738207,0.01452614,10024444.29,300926822.6
2023-08-05,16:59:00,0.0142647351,19:59:00,0.0145974225,0.0143850271,0.0143731001,13191420.97,297739675.03
2023-08-04,21:01:00,0.0143732024,17:32:00,0.0146445237,0.0146182266,0.0143829374,15706490.23,297905501.62
2023-08-03,10:11:00,0.014310349,17:25:00,0.0147738337,0.0144935011,0.0146192158,32225929.36,302268624.5
2023-08-02,23:26:00,0.0144470147,07:41:00,0.0149782416,0.0148463441,0.014484773,31692611.92,299454656.76
2023-08-01,04:25:00,0.0144614977,09:41:00,0.015098531,0.0145591933,0.0148446908,14402592.92,310792086.89
2023-07-31,23:23:00,0.0144716662,13:14:00,0.0154862926,0.014862445,0.0145590007,6518189.73,304493456.57
2023-07-30,09:44:00,0.0147335623,03:26:00,0.0151412683,0.0150079718,0.0148625475,6341705.76,310633204.92
2023-07-29,15:51:00,0.0146392374,00:00:00,0.0152712136,0.0152712136,0.0150063663,5223555.11,313619628.56
2023-07-28,00:00:00,0.0141044976,14:11:00,0.0156207775,0.0141044976,0.0152618561,15169254.74,318929437.63
2023-07-27,20:58:00,0.013992555,01:43:00,0.0146210367,0.0141866908,0.0140685157,4204920.66,293816832.98
2023-07-26,05:24:00,0.0139054852,14:10:00,0.0142068924,0.0139484654,0.0141865906,3669256.11,294473670.86
2023-07-25,17:28:00,0.0138138644,09:59:00,0.0145327119,0.014023778,0.0139481002,5775724.65,289385766.56
2023-07-24,17:58:00,0.0137798146,01:00:00,0.0147541222,0.0145188775,0.0140231726,5258138.66,290895700.28
2023-07-23,00:55:00,0.0140528767,07:14:00,0.0146512309,0.0144478659,0.0145171535,4990918.52,300997041.62
2023-07-22,05:23:00,0.0143873033,15:47:00,0.0152670895,0.0144186345,0.0144471175,11236862.18,299518839.31
2023-07-21,00:00:00,0.0139469483,15:28:00,0.0149260532,0.0139469483,0.0144189437,10169720.21,298883405.22
2023-07-20,12:20:00,0.0134733883,19:31:00,0.0149752102,0.0135550874,0.0139469265,14638240.73,288946417.01
2023-07-19,12:20:00,0.0134733883,18:48:00,0.0137793234,0.0135720667,0.0135547714,5082234.74,280763303.77
2023-07-18,12:42:00,0.0134012282,02:19:00,0.0138046132,0.0137727012,0.0135695461,5520650.25,280961056.97
2023-07-17,23:05:00,0.0136378175,01:54:00,0.0145503998,0.0140692321,0.0137737681,7051331.24,284742287.06
2023-07-16,08:49:00,0.0137839787,14:56:00,0.0141972794,0.013960688,0.0140711218,4913635.52,289600659.96
2023-07-15,14:22:00,0.0137595793,18:40:00,0.0145436222,0.0138458346,0.0139670919,7539359.94,270569329.51
2023-07-14,20:14:00,0.0135629072,00:21:00,0.0167271476,0.0155358593,0.0138477655,18325302.86,262020351.17
2023-07-13,02:35:00,0.0130564308,23:56:00,0.0155513221,0.0132185641,0.0155407963,27955391.7,293886462.2
2023-07-12,22:55:00,0.0131777212,15:52:00,0.0134864459,0.013390572,0.0132171111,5497936.8,239636536.62
2023-07-11,23:57:00,0.0133893344,20:53:00,0.0141487777,0.0135919057,0.0133906268,6964039.57,241814776.46
2023-07-10,01:17:00,0.0129604708,06:19:00,0.0141848837,0.0133513226,0.0135918067,9565839.29,245395604.36
2023-07-09,04:24:00,0.0131123179,13:55:00,0.014215578,0.0131602519,0.0133481854,5857569.1,253404280.14
2023-07-08,21:29:00,0.0129663877,03:10:00,0.0133689474,0.013366462,0.0131599251,3275303.62,249818862.4
2023-07-07,09:52:00,0.0131006088,00:44:00,0.0138264731,0.0138216186,0.013363949,4629743.45,253676867.29
2023-07-06,23:57:00,0.0138162518,12:48:00,0.0143949361,0.0139203581,0.0138227923,4658783.71,262241279.31
2023-07-05,23:39:00,0.0138877596,00:06:00,0.0147478401,0.0147094885,0.0139163098,4185471.9,264006748.69
2023-07-04,23:57:00,0.0147057702,00:22:00,0.0148998495,0.0148640151,0.0147086863,3297093.74,279017087.08
