date,time_low,low,time_high,high,open,close,volume,market_cap
2023-08-31,21:14:00,0.5253997802,04:01:00,0.5753563232,0.5593709161,0.5297983633,1615151.27,103462260.92
2023-08-30,20:19:00,0.5537025997,00:20:00,0.5857202322,0.5851821781,0.5594267664,1252518.83,109248276.48
2023-08-29,12:13:00,0.5282088097,15:32:00,0.5997663961,0.5418354186,0.5852625452,3626778.25,114293645.21
2023-08-28,07:40:00,0.5296941145,17:22:00,0.5443771477,0.5404377929,0.5416718139,628542.29,105780980.9
2023-08-27,22:04:00,0.5377268066,16:11:00,0.5526522213,0.548148725,0.5405058056,776088.16,105553275.67
2023-08-26,09:33:00,0.5418510101,20:34:00,0.5693264659,0.5472568007,0.5482166402,1292401.99,107059094.57
2023-08-25,10:09:00,0.5417686476,00:26:00,0.5586397481,0.558550311,0.5472939289,855033.54,106878901.87
2023-08-24,21:48:00,0.5539932261,11:34:00,0.5859780976,0.5687104174,0.5584820051,1144236.58,109063777.74
2023-08-23,05:53:00,0.550065638,19:51:00,0.5720595317,0.5549005388,0.5687560774,887462.29,111070161.33
2023-08-22,21:43:00,0.5433882435,00:56:00,0.5716621727,0.5714064619,0.5548631892,852279.21,108357073.25
2023-08-21,16:40:00,0.5668123369,01:21:00,0.5910764731,0.5901486694,0.5713717598,804699.71,111580967.77
2023-08-20,02:16:00,0.5632620816,12:13:00,0.6378588526,0.5632837614,0.5902433341,2697620.49,115266324.09
2023-08-19,00:04:00,0.5543340446,17:13:00,0.5719960796,0.5544333036,0.5634364843,668781.21,110031318.7
2023-08-18,23:51:00,0.5537120175,00:24:00,0.5714801158,0.5690254419,0.5544115754,938915.08,108268879.35
2023-08-17,22:53:00,0.5559763241,12:51:00,0.6073487453,0.5979605254,0.5689962418,1163528.08,111117062.11
2023-08-16,23:47:00,0.5968424772,04:36:00,0.6240349717,0.6163931776,0.5979817025,882764.35,116777519.94
2023-08-15,23:48:00,0.6157212697,00:58:00,0.6736063556,0.671151902,0.6163537086,1448664.39,120365317.52
2023-08-14,13:16:00,0.6649437401,16:40:00,0.6810387119,0.6713521947,0.6711682301,1050854.92,131069832.14
2023-08-13,16:22:00,0.6699436989,00:46:00,0.6911840868,0.6872379235,0.6711900462,1167755.26,131074092.53
2023-08-12,00:14:00,0.6673432682,19:29:00,0.7052114749,0.6684556481,0.6865121466,1458217.01,134066285.89
2023-08-11,19:25:00,0.6655185985,12:01:00,0.6838551364,0.6790817603,0.6684579536,983507.22,130540552.8
2023-08-10,20:19:00,0.6763206811,04:16:00,0.7050378081,0.7022909638,0.6790732017,1280292.49,132613563.28
2023-08-09,22:46:00,0.6964658104,00:05:00,0.7213198448,0.7206252827,0.7023039272,1827319.32,137150201.29
2023-08-08,22:11:00,0.7188846497,05:16:00,0.7912594956,0.7322068372,0.7206074611,4328994.17,140724627.2
2023-08-07,00:00:00,0.7114705654,08:31:00,0.7496619873,0.7114705654,0.7322220049,2431108.48,142992786.26
2023-08-06,01:07:00,0.7053235794,08:32:00,0.7285268357,0.7233219048,0.7114609552,2306096.19,138938441.65
2023-08-05,22:25:00,0.7207500483,10:08:00,0.7455428559,0.7326017383,0.7236257151,3065496.5,141314050.27
2023-08-04,04:38:00,0.691091517,13:28:00,0.7411675594,0.6996198414,0.7324977243,4751598.83,143046630.44
2023-08-03,10:30:00,0.6750328341,17:23:00,0.7188226609,0.678909395,0.6994674935,2303289.2,136596285.17
2023-08-02,20:51:00,0.6757294818,05:04:00,0.7123185533,0.7019130731,0.6788519806,1264474.65,132570361.89
2023-08-01,15:05:00,0.6746092046,01:22:00,0.7027043728,0.6990775183,0.7018184449,1725245.94,137055393.33
2023-07-31,21:49:00,0.6984283906,12:19:00,0.73284704,0.716564097,0.6990713879,2739263.6,136518931.26
2023-07-30,03:57:00,0.6779590908,17:41:00,0.7511426216,0.6831895102,0.7163810872,5666013.7,139899275.08
2023-07-29,18:57:00,0.6741463954,14:10:00,0.6906294653,0.6775639824,0.6831525019,1032081.65,133410193.95
2023-07-28,08:10:00,0.6694057516,16:49:00,0.6818703199,0.6764496493,0.6775373892,821745.27,132313640.45
2023-07-27,19:03:00,0.6702585647,05:16:00,0.6943450764,0.6812307748,0.6764672557,1238218.99,132104658.23
2023-07-26,18:02:00,0.666800971,00:24:00,0.6952143136,0.6941656287,0.6812675084,1288078.68,133042080.9
2023-07-25,00:59:00,0.6603548725,17:55:00,0.7206081019,0.6633475964,0.6941050686,3310216.22,135549078.08
2023-07-24,19:45:00,0.6524330478,07:52:00,0.7324314079,0.6933910016,0.6633578,3790285.92,129544563.64
2023-07-23,00:54:00,0.6860094463,08:38:00,0.7009235785,0.6876495221,0.6937222025,971229.52,135474309.66
2023-07-22,23:54:00,0.6878746237,02:05:00,0.7215298366,0.7075881121,0.6882427623,1392883.46,134404251.1
2023-07-21,10:30:00,0.6784573378,13:25:00,0.7272112343,0.694425881,0.7082176851,2470428.22,138305076.05
2023-07-20,00:34:00,0.6621213291,08:34:00,0.739137791,0.6631788354,0.6942058134,4278186.65,135568752.14
2023-07-19,15:03:00,0.6524907771,06:02:00,0.6718632204,0.6570364488,0.6631747365,1372210.4,129508813.89
2023-07-18,12:55:00,0.6511929576,01:22:00,0.7080884148,0.7047318232,0.6568388452,1837910.22,128271502.32
2023-07-17,10:46:00,0.685602321,07:46:00,0.7218906074,0.6982644753,0.7047286634,2306855.35,137623718.59
2023-07-16,13:39:00,0.6926315039,01:40:00,0.7268704888,0.7205843533,0.6982433619,2215151.36,136357229.29
2023-07-15,06:08:00,0.6663269797,16:26:00,0.8158028346,0.6796563916,0.720507522,8500929.67,140705110.49
2023-07-14,19:00:00,0.6620747151,10:32:00,0.8070023269,0.7250023578,0.679549841,10920857.47,132706644.32
2023-07-13,05:48:00,0.6012732985,19:37:00,0.7985753845,0.6102587135,0.7254264145,12733720.1,141665701.85
2023-07-12,01:45:00,0.6029900788,07:10:00,0.6160398396,0.6104594148,0.6102758635,970849.64,119178398.8
2023-07-11,21:44:00,0.6060610443,06:59:00,0.6196873432,0.6110489108,0.6104976115,934724.2,119221703.12
2023-07-10,06:59:00,0.6076914679,00:00:00,0.6271473042,0.6271473042,0.6110132325,1191476.82,119322396.72
2023-07-09,03:34:00,0.6187399182,11:46:00,0.6618280883,0.6188309965,0.6271558146,2095912.29,122474818.78
2023-07-08,20:23:00,0.6142369938,00:25:00,0.6409264228,0.6383793332,0.6187840319,1322764.27,120839925.91
2023-07-07,08:06:00,0.6265622635,00:00:00,0.6640628365,0.6640628365,0.6384151065,3512050.06,124673602.07
2023-07-06,00:00:00,0.6496281063,08:52:00,0.8576859139,0.6496281063,0.6641044313,26874002.95,129690370.37
2023-07-05,13:31:00,0.603727493,23:37:00,0.6809985353,0.6213875473,0.649707888,2503932.69,126878925.45
2023-07-04,01:07:00,0.6165453663,02:46:00,0.6529203736,0.6225690347,0.6213274196,1955264.39,121336614.2
2023-07-03,00:45:00,0.580139946,17:46:00,0.6558601206,0.5816559442,0.6225928463,4971567.05,121583734.45
2023-07-02,18:05:00,0.5771656645,00:10:00,0.5937826036,0.5927205134,0.5816656743,855573.7,113591226.27
2023-07-01,04:36:00,0.5741328896,21:08:00,0.5968537189,0.5817806958,0.5927010798,806972.7,115746287.68
2023-06-30,01:22:00,0.574480116,12:36:00,0.6054293921,0.5795610063,0.5818355885,1384061.44,113624408.16
2023-06-29,23:19:00,0.5770080259,09:51:00,0.5951474149,0.5835943427,0.579529884,727137.65,113174136.09
2023-06-28,19:47:00,0.5787350577,01:14:00,0.6145853514,0.6134052759,0.5836941866,1044095.35,113987366.55
2023-06-27,09:24:00,0.6019362696,23:51:00,0.6137307794,0.6062060406,0.6133546088,866001.29,119779634.99
2023-06-26,22:22:00,0.6025724306,00:11:00,0.634138366,0.6332635747,0.6062195823,997696.29,118386263.44
2023-06-25,00:03:00,0.6138364765,21:33:00,0.6401303802,0.6156967067,0.6334978857,1076213.55,123713337.17
2023-06-24,21:16:00,0.6131903258,00:27:00,0.6425491095,0.6405344913,0.6156739866,1174020.51,120232577.26
2023-06-23,00:01:00,0.6139581681,07:45:00,0.6825741098,0.6159031662,0.6405212467,3548411.0,125084902.01
2023-06-22,11:58:00,0.6030018358,02:04:00,0.634561988,0.6135455387,0.6160456701,1883295.55,120305161.89
2023-06-21,00:03:00,0.59990552,16:31:00,0.6208234497,0.6003489203,0.613680768,1453223.05,119843329.35
2023-06-20,14:45:00,0.5815749975,16:44:00,0.6176971076,0.5854535558,0.6003969287,1339063.74,117249180.07
2023-06-19,00:10:00,0.5697509458,11:49:00,0.6045406586,0.5698472706,0.5854642065,1148049.56,114333026.85
2023-06-18,23:37:00,0.569359531,05:25:00,0.5820221325,0.5794749914,0.5698317745,427274.05,111280230.04
2023-06-17,00:35:00,0.5714238561,05:59:00,0.5857424444,0.5752213304,0.579493115,501024.15,113166955.62
2023-06-16,14:49:00,0.5637181832,18:19:00,0.5816870327,0.5735966339,0.5752337607,634442.08,112335162.9
2023-06-15,07:37:00,0.5511742706,19:16:00,0.5798794629,0.5642544796,0.5734677169,847778.56,111990279.08
2023-06-14,22:48:00,0.5494889491,11:00:00,0.5927456566,0.5622343581,0.5639149301,1111572.28,110124752.52
2023-06-13,17:56:00,0.5603756896,12:35:00,0.5733496889,0.5649020494,0.5622343581,669567.06,109796560.14
2023-06-12,20:06:00,0.5589578507,00:27:00,0.5754774783,0.5696979321,0.564895592,723741.99,110316262.16
2023-06-11,10:02:00,0.5635342218,16:14:00,0.5803437588,0.5682987518,0.5696748149,853435.11,111249578.0
2023-06-10,13:18:00,0.5496055652,00:16:00,0.6756446414,0.651160345,0.5682540086,6707108.85,110972114.27
2023-06-09,08:15:00,0.5864568664,09:44:00,0.670924244,0.5960716183,0.6502920827,5505998.76,126993010.54
2023-06-08,04:59:00,0.570151992,16:31:00,0.6355150602,0.5744085671,0.5957166843,2122226.72,116335193.35
2023-06-07,20:52:00,0.5685074641,05:15:00,0.6080375555,0.606298872,0.5741733918,777054.02,112128087.58
2023-06-06,13:23:00,0.578589067,23:26:00,0.609021049,0.5846493511,0.606186978,776797.2,118379896.26
2023-06-05,19:06:00,0.5785057332,00:16:00,0.6461072982,0.6439725996,0.5849726033,1034993.12,114237023.58
2023-06-04,23:57:00,0.6437097309,12:16:00,0.6603038769,0.652612007,0.6437291346,666466.42,125711357.96
2023-06-03,10:13:00,0.6464197477,15:44:00,0.6576492111,0.6512340647,0.6526168346,533823.34,127447002.31
